asin,product_name,product_category,type,sku,cogs
B0CHMYK31Z,"Has10 Cleat Covers (White, Youth)",Cleat Covers,single,0,3.5
B0CHMVNJRQ,"Has10 Cleat Covers (White, Small/Medium)",Cleat Covers,single,0,3.5
B0CHMX4FB3,"Has10 Cleat Covers (White, Large)",Cleat Covers,single,0,3.5
B0CHMRM9XB,"Has10 Cleat Covers (Royal Blue, Youth)",Cleat Covers,single,0,3.5
B0CHMWXF4N,"Has10 Cleat Covers (Royal Blue, Small/Medium)",Cleat Covers,single,0,3.5
B0CHMT6J88,"Has10 Cleat Covers (Royal Blue, Large)",Cleat Covers,single,0,3.5
B0CHMYM36F,"Has10 Cleat Covers (Red, Youth)",Cleat Covers,single,0,3.5
B0CHMSXXWT,"Has10 Cleat Covers (Red, Small/Medium)",Cleat Covers,single,0,3.5
B0CHMSHPQ2,"Has10 Cleat Covers (Red, Large)",Cleat Covers,single,0,3.5
B0CHMTC9BY,"Has10 Cleat Covers (Purple, Youth)",Cleat Covers,single,0,3.5
B0CHMTFKPS,"Has10 Cleat Covers (Purple, Small/Medium)",Cleat Covers,single,0,3.5
B0CHMV4HS5,"Has10 Cleat Covers (Purple, Large)",Cleat Covers,single,0,3.5
B0CHMRMR61,"Has10 Cleat Covers (Orange, Youth)",Cleat Covers,single,0,3.5
B0CHMVSYV3,"Has10 Cleat Covers (Orange, Small/Medium)",Cleat Covers,single,0,3.5
B0CHMTQLY5,"Has10 Cleat Covers (Orange, Large)",Cleat Covers,single,0,3.5
B0CHMV5Y39,"Has10 Cleat Covers (Gold, Youth)",Cleat Covers,single,0,3.5
B0CHMTK2NT,"Has10 Cleat Covers (Gold, Small/Medium)",Cleat Covers,single,0,3.5
B0CHMT9WTX,"Has10 Cleat Covers (Black, Youth)",Cleat Covers,single,0,3.5
B0CHMVWB1P,"Has10 Cleat Covers (Black, Small/Medium)",Cleat Covers,single,0,3.5
B0CHMTB536,"Has10 Cleat Covers (Black, Large)",Cleat Covers,single,0,3.5
B0DBX72R3V,"Has10 Cleat Covers (Gold, Large)",Cleat Covers,single,0,3.5
B0DQ3YSMTM,"Has10 Cleat Covers (Pink, Youth)",Cleat Covers,single,0,3.5
B0DQ3KXLFT,"Has10 Cleat Covers (Pink, Small/Medium)",Cleat Covers,single,0,3.5
B0DSCB8H4M,"Has10 Cleat Covers (Royal Blue - 2 Pack, Small/Medium)",Cleat Covers,2_pack,0,7
B0DSCFL4QR,"Has10 Cleat Covers (Black/White - 2 Pack, Small/Medium)",Cleat Covers,2_pack,0,7
B0DSCD6F6Y,"Has10 Cleat Covers (Black - 2 Pack, Small/Medium)",Cleat Covers,2_pack,0,7
B0DSCF511J,"Has10 Cleat Covers (Black/White - 2 Pack, Large)",Cleat Covers,2_pack,0,7
B0DSCFD8QZ,LITET Blue Small/Medium,LITET Cycling Socks,single,G5-ADOX-RRWT,2.59
B0DSCFM3DV,LITET Blue Large/X-Large,LITET Cycling Socks,single,LI-97MX-SE68,2.59
B0DSCFMCQD,LITET Black Small/Medium,LITET Cycling Socks,single,UU-E3P7-PITV,2.59
B0DSCG3L5S,LITET Black Large/X-Large,LITET Cycling Socks,single,8T-1FT4-E7S0,2.59
B0DSCDDPFL,LITET White Small/Medium,LITET Cycling Socks,single,L9-96Z4-WYEM,2.59
B0DSCF5YTB,LITET White Large/X-Large,LITET Cycling Socks,single,WA-CKOR-1XQ5,2.59
B0F68KYCP1,LITET 3-pack White Small/Medium,LITET Cycling Socks,3_pack,8Q-NNOD-1J3T,7.77
B0F69WJJ2Z,LITET 3-pack Black Small/Medium,LITET Cycling Socks,3_pack,QH-WD7M-GKUP,7.77
B0FFPT16G6,LITET 3-pack White Large/X-Large,LITET Cycling Socks,3_pack,VH-JPTE-ULEB,7.77
B0FFQ5Z8CS,LITET 3-pack Black Large/X-Large,LITET Cycling Socks,3_pack,M3-FNUZ-73RR,7.77
B0GSXJY1HQ,LITET 6-pack White Small/Medium,LITET Cycling Socks,6_pack,ZN-Q2KK-A5PB,15.54
B0GSXFK7VQ,LITET 6-pack White Large/X-Large,LITET Cycling Socks,6_pack,Q6-IA9E-V993,15.54
